R,P,U
0.7777354621733422,0.07816757877836907,0.7712038745464957
0.7390063554212245,0.07908129456583342,0.7803403018223517
0.8065058759086131,0.06886421997324384,0.7799039886065495
0.7988663656782435,0.07675508802743392,0.7728804006288863
0.7314442560871419,0.08930155107440405,0.771687275621794
0.7673257437138553,0.082388594331125,0.7738883510093597
0.7014424384938077,0.09482361832470307,0.7730752971312582
0.7373095036988373,0.08713578197572537,0.7716977786230528
0.740904221948102,0.08703900924044267,0.7722128060407812
0.7805638004015338,0.07905552144623552,0.7742227095332351
0.7287109355655836,0.08773213238718919,0.7723593875084583
0.6956293254812145,0.09658372825346048,0.7741866597945694
0.7472618337822493,0.08237016143634368,0.7731674942744398
0.7690748925310198,0.07449395003362559,0.7790938757276987
0.771632199565545,0.07491310766059932,0.7826065262392596
0.7228016750221181,0.09017654703256855,0.7722676811498336
0.7511817140538961,0.08322368065547374,0.7734442926468323
0.7189751372699655,0.09310519686208324,0.7734206873272679
0.7469080288544198,0.08680145671168628,0.7733906794774593
0.7747974634185701,0.07849894523416559,0.7710457061033579
0.734732001909215,0.0856538176931778,0.772862520327614
0.7288160008664845,0.09309520651707968,0.774796777809931
0.7608172101041003,0.07666189906080659,0.7809469227901603
0.7295501713705062,0.08749223282803029,0.7725722996514295
0.7479257651467713,0.08736524851582654,0.7736501331229896
0.7425500635037938,0.08354397305499316,0.7831676926020934
0.7783268694141819,0.07744403498329167,0.7710590038679521
0.7533739788829247,0.08178801018020486,0.7717941206138712
0.7846891360682475,0.07777615003518772,0.7713973416227317
0.7392049890601495,0.0891329818011111,0.7755893140733547
0.7312807740578381,0.08906036123738446,0.7727524408046873
0.7683821576992429,0.0829629476635302,0.7742249123443647
0.7553537477905722,0.07569844475974472,0.7801548868089004
0.7654690421963829,0.07406370424405088,0.7795424981710075
0.7468123583830373,0.08515047879063968,0.7750216915632189
0.740806597754095,0.08867565586979603,0.7749281229159725
0.732628670574023,0.08917616645459535,0.7717619671011776
0.7690612132768571,0.08146489378585482,0.7707487664678607
0.7392587208914575,0.08537341582723246,0.7735421812336258
0.7608966177260952,0.0824679063257521,0.7754112004424811
0.7464766436671763,0.08480016816546142,0.7743442129779926
0.7494693658438748,0.08594116334394686,0.7720722700915859
0.7322084086674382,0.08712381091707734,0.7723460262373778
0.7683396741810509,0.07965579915209453,0.7717398191861318
0.7368181036626276,0.09128607049693264,0.7751782977394747
0.7919495939856589,0.07194556445020005,0.778006462522731
0.7865270763821821,0.07130010157423561,0.7786618255589304
0.7781862792906096,0.07202107337966461,0.7791472103174177
0.7789504964275703,0.08089538857633403,0.7723311668115113
0.7123282485820963,0.09265769812555162,0.7725773159405241
0.7398701573761985,0.09151706998683716,0.7763652245162335
0.7192490332578023,0.0897763410257487,0.7728917612115653
0.7555289330346566,0.08205539245172547,0.7730298609928447
0.7284755143329824,0.08675447554928686,0.7726214381888178
0.7462511197088514,0.0868854089235785,0.7754902893970363
0.7711929009040078,0.07848667010517174,0.7711598847810723
0.7186453322398363,0.08821970607007242,0.7860304481388986
0.7561588432364752,0.08249805644736427,0.773671883182327
0.7403457172593902,0.08788116128382498,0.7760271367882878
0.7273042773857635,0.08678591733798266,0.77260987141674
0.7431004821992607,0.0816783458939586,0.7827761159703935
0.7401625290673294,0.07900728249201067,0.7803395252017796
0.7414962513579747,0.08411676344371799,0.7721910356414089
0.7699884014047028,0.07576809203804909,0.7720240710119527
0.7567386194212503,0.08369495215109946,0.7846304420654565
0.7219021474492152,0.09021151158520262,0.7722703877183779
0.7159746598235012,0.09239446399719889,0.7860098616012103
0.7345613465618068,0.09022315523213391,0.7744043097630063
0.7562007017396756,0.08466952862541482,0.7744526730697294
0.7636757394195196,0.07725840185234688,0.7828087476145053
0.705866851678697,0.09573074378025226,0.7764741859037501
0.7686192365277122,0.08170099719039314,0.7710316352638966
0.7218565111821873,0.08832518275641538,0.7738197591202368
0.7770373544534396,0.07602737027229137,0.7818918630887293
0.738834106100344,0.08947430045279976,0.7747852654074775
0.6955793895934222,0.09389171549447803,0.7738509605848627
0.7105763752036944,0.09686087282310422,0.7720656205195443
0.7497251926735506,0.08419766259217032,0.7714174704661112
0.7826406346308129,0.07356231113117585,0.771559983277454
0.706892106184077,0.09349690796639142,0.7729453241324356
0.7331294487510932,0.0881109715363873,0.7722269462977334
0.7811701347363079,0.07771522219303112,0.7743481367614194
0.7351978190195761,0.08724391829411332,0.771974566522194
0.7420190427027751,0.08193786507332428,0.7725556784176623
0.7589760775907566,0.08139592752127198,0.772225478826153
0.7813261236518176,0.07494839467495507,0.7824603983800177
0.740419862051884,0.0876106523005019,0.7761414257501182
0.7816824802395559,0.0805982088797641,0.7725585549625014
0.7647518137400231,0.07391018826924667,0.7794751193481937
0.7889956754861753,0.07113544578939421,0.7784765818132889
0.7483850986516161,0.08340076946360392,0.7717583376689795
0.7022893508093523,0.09853470362364229,0.7754834675267321
0.7939752724052492,0.0777568045115693,0.7745671034171832
0.7273256245035312,0.09167836759401915,0.7726354482398522
0.7481755245307341,0.08300537006636832,0.7719383530689535
0.7169173403174025,0.08538722958996228,0.7811400625209164
0.7692799613637448,0.0817877325220131,0.7744861940819533
0.7395562279837916,0.08968648041177876,0.776009037583711
0.6957275416710232,0.09790760252676377,0.7735581424206116
0.7572426081861974,0.07959624296291776,0.7837156248343018
0.7569786632847365,0.07480810035852377,0.7801031903229761
0.7662812530173859,0.08149160123180633,0.7708394682057593
0.7737795755195719,0.07700346299079203,0.771360135338577
0.7588386230098841,0.08078924570921511,0.7715409511773879
0.755289778236917,0.08274514063554203,0.7715586623175908
0.7154760789215081,0.09304497353637037,0.776206214944344
0.7195341671279629,0.09578463468658387,0.7753774053439352
0.7364951640828378,0.07830843188438455,0.7806755645705266
0.7500445989687625,0.08394268669771297,0.7743692527751849
0.7593307872584933,0.08256391936829935,0.7711815860002361
0.7519595247126465,0.08057865184568234,0.7837963736485195
0.7467995868572826,0.08346979631533925,0.7734969091073151
0.75007272558572,0.08342700601130876,0.7726008208660895
0.7822534518800781,0.07786815120034075,0.7714143650155485
0.7264483963098465,0.09304218438420289,0.7753670233173535
0.7239712344084441,0.08914497861828473,0.7723437151749661
0.7402951103715041,0.08041512874265822,0.7806415379536851
0.764154635699421,0.08001111513938708,0.7719010859576767
0.7724483434582793,0.08110640080827428,0.7715219195967407
0.7455627217067944,0.09060354560050239,0.7750803577493305
0.767106484193038,0.0816351270174499,0.7748845923572529
0.7886419657825244,0.08138766852872595,0.774505547417052
0.7713462902526231,0.08528641271812072,0.7741277876846407
0.7564470531281685,0.07802331442135099,0.7790641017396928
0.7266715741107449,0.08974465205466506,0.772060288801166
0.7477148645045224,0.08030845588846454,0.780485748554799
0.7253353408555793,0.08991595708200942,0.7744913822625655
0.7338967774185664,0.08941836656995758,0.7761390412133227
0.7753599815499621,0.08006815685855367,0.7723786023269044
0.732424449071088,0.08733265735521173,0.7753268494615949
0.7322048101192477,0.0882101836065068,0.7718629639295099
0.7379347396639414,0.08632417017569564,0.772455503071229
0.7477910805748849,0.0839223824398163,0.7716675748654778
0.7489541090034914,0.0766086383905101,0.780031306205165
0.7381484649747195,0.0806818940005841,0.7798663962240178
0.7001619134769919,0.09851295644967599,0.7734011407475238
0.6957106853348856,0.09736926362536961,0.7741156316180743
0.7360947814580185,0.08605223481468803,0.7748644494940702
0.7245336862264498,0.09021121465843857,0.7749850610786612
0.7732858486648858,0.07318835502878217,0.7793424846256087
0.7457733918416788,0.08121035230263524,0.7724282807925688
0.7128538836360488,0.09076551221631539,0.772934349574378
0.7649505355840549,0.08006756412053498,0.7713481820815614
0.7345857131596928,0.08534956399875634,0.7751405409327811
0.7739577569847949,0.0823505147065172,0.7744351985145126
0.7227732237117167,0.09516288319764471,0.7767292018608162
0.7367014949954541,0.0858098694969474,0.7757852170582717
