w,r,n,R,P,U,C_entropy_topsis,C_equal_topsis,grey_grade
0.23,4.5,6,0.734207342224639,0.0993291345688748,0.7904669022209425,0.6558166166868015,0.6638858755440116,0.681196844174518
0.24,3.15,4,0.7322378559293908,0.1255661335033463,0.7793485396665238,0.654552067004,0.6319924884485132,0.6926402185905125
0.22,3.15,4,0.732625245965873,0.1228720727303307,0.7810065274711753,0.653778892793334,0.6335439907395133,0.6836640139542242
0.2,4.5,6,0.7366015348927336,0.0935233598219403,0.7922818124323434,0.6497809692798876,0.650278031713302,0.6897429138396683
0.215,3.15,4,0.7328889417921661,0.1223812982651163,0.7818386655773608,0.6487310637720437,0.6297516891960168,0.6777376565325607
0.235,4.5,6,0.7340984251151205,0.100582637952748,0.7908468759271126,0.6465159514224529,0.6574711224070545,0.674921224898013
0.195,4.5,6,0.737250798301733,0.0927996454930459,0.7931494132678061,0.6402896506819642,0.6408573108812881,0.6872789807177976
0.13,4.5,4,0.7506803151652126,0.0815863062933836,0.7938167367363195,0.6390768600051955,0.5575614553836349,0.7252514144701367
0.24,4.5,6,0.7340830578633817,0.1019291837029784,0.7914532468813799,0.6338647907305098,0.6482372680328299,0.6671245542015798
0.19,4.5,6,0.7379595172494544,0.0921331039337024,0.7941431988325436,0.6290279232721466,0.6299296065250694,0.6840564774674791
0.235,3.1,4,0.7316457462985512,0.1272665366512296,0.7818695159754049,0.6274344361317874,0.6167110717690192,0.6712041011179966
0.23,3.1,4,0.7317238258653871,0.1265564506848756,0.7822770570830547,0.6270906169401218,0.6172647430081106,0.6692774852850256
0.24,3.1,4,0.731641977678159,0.1280579125564376,0.7816513623338991,0.6256885515311116,0.6143775737397686,0.6714584810347928
0.225,3.1,4,0.731872288283521,0.1259236492940401,0.782862189158579,0.6246683876803675,0.6160699868869681,0.6658390868824385
0.245,3.1,4,0.7317163135371323,0.128934469270317,0.7816340060089776,0.6218133284990179,0.6102164526116484,0.6699105940343111
0.125,4.5,4,0.7513643168506239,0.0814718020012617,0.79534240124285,0.6212703760826328,0.545240392126282,0.7178691987673742
0.22,3.1,4,0.732087077766878,0.1253640195891018,0.7836127571932535,0.6201633965146094,0.6131491559178189,0.661070157250737
0.185,4.5,6,0.7387229716028226,0.0915188799101546,0.7952494268764502,0.6162831207119466,0.6177256038765429,0.6802137412420741
0.12,4.5,4,0.7520321524363115,0.0813306487070967,0.7968084617508577,0.6046012255845254,0.5336644226809347,0.7113113060622748
0.18,4.5,6,0.7395363664808041,0.0909520633483414,0.7964541923632144,0.6023520090824984,0.6044827405158032,0.6758840879746002
0.235,3.05,4,0.7311538300854348,0.129870623473973,0.7846382139763859,0.5918903287970544,0.5947473014692687,0.6483121988570921
0.24,3.05,4,0.7311343945341305,0.1306617610032463,0.7843382035716973,0.5912893711020603,0.5931336933197205,0.6490706611719115
0.23,3.05,4,0.7312471032644114,0.1291607464330578,0.7851257629216175,0.5902458347711744,0.594526159674094,0.6460470449540403
0.115,4.5,4,0.7526789510698689,0.081158134231437,0.7982018419455469,0.589229287884677,0.5229539552825415,0.705617831942587
0.245,3.05,4,0.7311925920044254,0.131538028399679,0.7842371316491041,0.588402806202176,0.5896405331154028,0.6481941170885768
0.175,4.5,6,0.7403948407976314,0.0904276979083094,0.7977434608317887,0.5875349582441468,0.5904414547458353,0.6711935225194624
0.225,3.05,4,0.7314102844171728,0.1285281459583686,0.7857890666687537,0.5863789286095993,0.5925045322121835,0.6424278203274483
