w,r,n,R,P,U,worst_regret_reasonable,worst_regret_fullsimplex,dist_utopia,freq_optimal
0.22,3.25,10,0.7215317151784172,0.1455441222467117,0.8114226988660359,0.581212899744815,0.8357564716932324,1.1591274250140815,0.008295625942684766
0.22,3.3,4,0.7346805786039622,0.1160423021424172,0.7753825008395692,0.24459109232291773,0.4814845390638825,0.6039117436272863,0.0
0.22,3.3,10,0.7220498907447194,0.1433893690187116,0.8098402655188458,0.5573765829656726,0.8098811667891868,1.1187147909236788,0.00904977375565611
0.22,3.35,4,0.7354772559392995,0.1139702084908357,0.7741698832006881,0.226933838993741,0.45660184979455404,0.5941268508875989,0.0
0.22,3.35,8,0.7294963821494204,0.1374053126584377,0.8066115112472466,0.5312603634727097,0.7380217627177549,1.0458879245213586,0.0
0.22,3.35,10,0.7226613106979405,0.1413333359804389,0.8086073985098683,0.5389121742585236,0.7851913410278049,1.0843476112271047,0.0
0.22,3.4,4,0.736311394698221,0.1119946098350513,0.7732503351514802,0.21116312522620426,0.43287791847742146,0.5887037011626455,0.0
0.22,3.4,8,0.7299773312219098,0.13541083399839,0.8058007524313998,0.5181991454845367,0.7140711113008194,1.0207095172436564,0.0
0.22,3.4,10,0.7233556253863678,0.1393726629184434,0.8077019255680119,0.5254667693796472,0.7616466433626484,1.0557768414464823,0.0
0.22,3.45,4,0.7371716957137896,0.1101118734860781,0.7725993590029029,0.19712477009783982,0.4193422480430759,0.586911994573582,0.0
0.22,3.45,8,0.7305151187149238,0.1335098631668305,0.8052831461964954,0.5095780287311528,0.6912433465057053,1.001034311652638,0.0
0.22,3.45,10,0.7241222108055683,0.1375038714556439,0.8071004715840591,0.5166695913560514,0.7392053037820158,1.0327759148402025,0.0
0.22,3.5,4,0.7380467067772793,0.1083182554035661,0.7721914547966511,0.18465982661014294,0.44122791463189903,0.5881106578994871,0.0
0.22,3.5,10,0.724950203259324,0.1357233713863515,0.8067785595501891,0.5121335300186572,0.7178242093829248,1.0151247334701379,0.0
0.22,3.55,4,0.738924860000085,0.1066099069471077,0.7720002303166305,0.17360514244429223,0.46319217251404987,0.5917398365103431,0.0
0.22,3.55,10,0.7258285348788515,0.13402746716445,0.8067107160797724,0.511456748276526,0.7073502880560919,1.0025909245594575,0.0
0.22,3.6,4,0.7397945096950208,0.1049828817665395,0.77199851488131,0.16379393616914237,0.484943741227399,0.5973042685729836,0.0
0.22,3.65,4,0.7406439706464444,0.1034331428355578,0.772158476412004,0.15505638677971087,0.5061903516290269,0.6043529721678084,0.0
0.22,4.5,2,0.7599178959113774,0.0760319017007909,0.7792933813915763,0.41576378169339856,0.9882673444888548,0.9999896482059558,0.006033182503770739
0.22,4.5,4,0.7412558776363958,0.0847113829476935,0.7719333339609218,0.09121066321309823,0.521495292245476,0.5320231174259334,0.31221719457013575
0.22,4.5,6,0.7346903563128128,0.0970846564499797,0.7903405641677206,0.25073205043540003,0.376161293823081,0.5775608569491361,0.014328808446455505
0.225,3.0,4,0.7310478228361698,0.1312480718195074,0.7891262977926571,0.39870862004802554,0.664082676791505,0.797165513739576,0.0
0.225,3.05,4,0.7314102844171728,0.1285281459583686,0.7857890666687537,0.36714625222434294,0.6314205092361572,0.7450831059089608,0.0
0.225,3.1,4,0.731872288283521,0.1259236492940401,0.782862189158579,0.33825312637683913,0.600144470553241,0.7021311812626931,0.0
0.225,3.1,10,0.720492594966962,0.154580097802614,0.8182327226992108,0.688103075426806,0.9442647776914471,1.3327027159293698,0.004524886877828055
0.225,3.15,4,0.7324241754124742,0.1234317604091913,0.7803291147926981,0.3119139751068404,0.5702206798172086,0.6675728750457256,0.0
0.225,3.15,6,0.7303551023457563,0.1367783329184867,0.7937060723030718,0.4559199776949683,0.7304926908365406,0.8904504627707908,0.0
0.225,3.15,10,0.7206618274618748,0.1521087241529624,0.8155450353407547,0.6470567105632912,0.9145873436885236,1.27343958637007,0.008295625942684766
0.225,3.2,4,0.7330559288674563,0.1210495100464967,0.7781717455121587,0.2880058819010788,0.5416134807693123,0.6405825322989235,0.0
0.225,3.2,6,0.7306126041699094,0.1343656144510107,0.7915793254286855,0.4303644964081559,0.7015196162485485,0.8475146999393436,0.0
0.225,3.2,10,0.7209528361421967,0.1497451853820535,0.8132622531288923,0.6122752583831491,0.8862048423630409,1.2210535482576708,0.010558069381598794
0.225,3.25,4,0.7337572054106515,0.1187737867055006,0.776370513670582,0.26639870583785374,0.5142855090274246,0.6202845218174982,0.0
0.225,3.25,10,0.721356278638722,0.1474865248794108,0.8113662676872285,0.5834665292273256,0.8590817693256478,1.17518068738736,0.012066365007541479
0.225,3.3,4,0.7345173683785765,0.1166013424516886,0.7749044663789247,0.24695553361158393,0.48819776184414265,0.6057985271946014,0.0
0.225,3.3,10,0.7218624415038417,0.1453296500689052,0.8098375051008568,0.5603164253781854,0.8331809874465612,1.1354982111553393,0.005279034690799397
0.225,3.35,4,0.7353255216918989,0.1145287989310396,0.7737513558319633,0.22953315713725062,0.4633096703323963,0.5962820045998477,0.0
0.225,3.35,8,0.7292854337787581,0.1389632127430606,0.8064060381285109,0.5305827023069741,0.7567297702871738,1.0552852723860582,0.0
0.225,3.35,10,0.7224612716287905,0.1432713381707251,0.8086550107385139,0.5424902447798315,0.8084637960480515,1.1017241636943151,0.0
0.225,3.4,4,0.7361705448985159,0.1125526535777053,0.7728877352108587,0.21398257491668052,0.43957917401022745,0.5909617106846107,0.0
0.225,3.4,8,0.7297612210926095,0.1369676827259035,0.8056455733776164,0.518190716219713,0.7327664936724132,1.0305446698171286,0.0
0.225,3.4,10,0.7231424088738959,0.141308242152959,0.8077965398975457,0.529634070083022,0.7848900023738865,1.0736113843609314,0.0
0.225,3.45,4,0.7370411291057786,0.1106692860060779,0.7722890597551497,0.2001495152022227,0.41696279755978727,0.5891499793160058,0.0
0.225,3.45,8,0.7302932522732707,0.1350655253662843,0.8051747419812088,0.510187777380703,0.7099244804822051,1.0111866603122246,0.0
0.225,3.45,10,0.7238952197982998,0.1394368968706804,0.807238653879515,0.5213762371610782,0.7624179953103916,1.0509359847819912,0.0
0.225,3.5,4,0.7379258137087429,0.1088749645780089,0.7719297925421081,0.1878749790140368,0.438204152417583,0.590245778964228,0.0
0.225,3.5,10,0.7247088323700513,0.1376537253794802,0.8069568210744625,0.5173288767897158,0.7410048212023611,1.0334814100623224,0.0
0.225,3.55,4,0.7388130237581083,0.1071658531249908,0.7717835145175825,0.1769958007448201,0.4603949385057323,0.5937238160998168,0.0
0.225,3.6,4,0.7396911078470785,0.1055380178236953,0.771823038268137,0.16734522420406803,0.48235746722109263,0.5991164138483227,0.0
0.225,3.65,4,0.7405483763907139,0.1039874342081973,0.7720205250386363,0.15875349185471158,0.5037993601364397,0.6059928320075728,0.0
0.225,4.5,2,0.7601161617072533,0.0759610876512919,0.7793491576968872,0.4191803901756863,0.9932263436210507,1.0050623462468646,0.06561085972850679
0.225,4.5,4,0.7411992197264785,0.0852579567594867,0.7719038729445984,0.09120181891291068,0.5200781717337382,0.5319709663551953,0.033936651583710405
